ds,y
2022-06-30,12.98
2022-03-31,9.93
2021-03-31,12.37
2020-09-30,12.90
2020-03-31,13.33
2019-03-31,13.48
2018-12-31,12.33
2018-09-30,11.93
2018-06-30,11.89
2018-03-31,11.72
2017-12-31,11.75
2017-09-30,9.99
2017-06-30,9.55
2017-03-31,9.53
2016-12-31,9.51
2016-09-30,10.36
2016-06-30,11.40
2016-03-31,12.17
2015-12-31,16.71
2015-09-30,17.66
2015-06-30,17.07
2015-03-31,17.26
2014-12-31,14.46
2014-09-30,14.83
2014-06-30,15.54
2014-03-31,23.17
2013-12-31,23.56
2013-09-30,25.58
2013-06-30,25.55
2013-03-31,25.23
2012-12-31,24.66
2012-09-30,23.63
2012-06-30,22.47
2012-03-31,25.37
2011-12-31,27.14
2011-09-30,30.43
