ds,y
2009-06-30,20.57
2009-09-30,17.56
2009-12-31,18.17
2010-03-31,18.14
2010-06-30,17.77
2010-09-30,11.00
2010-12-31,11.47
2011-03-31,12.21
2011-06-30,12.73
2011-09-30,11.83
2011-12-31,10.10
2012-03-31,9.38
2012-06-30,5.72
2012-09-30,5.40
2012-12-31,6.17
2013-03-31,5.86
2013-06-30,8.04
2013-09-30,7.34
2013-12-31,6.77
2014-03-31,6.00
2014-06-30,5.55
2014-09-30,3.31
2014-12-31,-6.99
2015-03-31,-7.13
2015-06-30,-8.49
2015-12-31,-8.46
2016-03-31,-13.68
2016-06-30,-15.77
2016-09-30,-15.32
2016-12-31,-20.91
2017-03-31,-5.92
2017-06-30,-3.54
2017-09-30,-3.55
2017-12-31,2.88
2018-03-31,-0.17
2018-06-30,0.76
2018-09-30,4.19
2018-12-31,6.27
2019-03-31,9.30
2019-06-30,8.08
2019-09-30,10.42
2019-12-31,11.13
2020-03-31,13.58
2020-06-30,-5.36
2020-09-30,-14.00
2020-12-31,-18.01
2021-03-31,2.30
2021-06-30,18.12
2021-09-30,28.75
2021-12-31,36.59
2022-03-31,27.54
2022-06-30,34.56
2022-09-30,39.35
2022-12-31,47.38
2023-03-31,51.94
2023-06-30,45.25
2023-09-30,42.19
